filtered_wo_names,count
tightly,7
feared,7
ribbons,7
drops,7
tutor,7
born,7
enthusiastic,7
20,7
exalted,7
reasoning,7
quarrels,7
described,7
stir,7
song,7
sensations,7
rightly,7
cheek,7
join,7
beard,7
betrayed,7
infidelity,7
glow,7
desired,7
humiliated,7
brandy,7
comfortable,7
instantly,7
concluded,7
eleven,7
linon,7
finishing,7
maman,7
conversations,7
advise,7
farther,7
served,7
sincere,7
dispute,7
fury,7
independent,7
seek,7
flown,7
universal,7
pages,7
center,7
aid,7
fit,7
wood,7
21,7
quietly,7
poisoned,7
expedition,7
improvements,7
softened,7
barn,7
ploughing,7
button,7
fair,7
shrieked,7
cloth,7
performed,7
kill,7
families,7
liberal,7
hind,7
authority,7
branches,7
smell,7
individual,7
unexpectedly,7
remarkable,7
sportsmen,7
midst,7
anxiety,7
behaved,7
frequently,7
absence,7
turks,6
combed,6
parts,6
lies,6
heated,6
chalk,6
opposition,6
intelligent,6
bedchamber,6
ministry,6
naked,6
army,6
pockets,6
slept,6
instance,6
furious,6
practically,6
conclusively,6
deceiving,6
rich,6
leather,6
length,6
29,6
acre,6
intentions,6
beast,6
marriages,6
causes,6
30,6
shape,6
graceful,6
vassilievitch,6
greet,6
drank,6
principal,6
collecting,6
lose,6
cousin,6
stuck,6
sleeping,6
recollecting,6
communicate,6
sprung,6
irrigation,6
shop,6
paris,6
